feels like…,category,metaphor_type,metaphor_subtypes,experience_tags,salient_experience,intensity_level
my organs are trying to birth themselves through various orrifices. ,uncategorized,,[],[],,
someone took my insides and stepped on them threw them around rode a bike over them and then put back in my body. ,uncategorized,,[],[],,
someone is stabbing me the whole time ,sensory,,[],['sensory'],sensory,high
I'm being squeezed by a cobra or some big snake and can't move until it loosens up. ,uncategorized,,[],[],,
a bruised feeling.,uncategorized,,[],[],,
tiny blisters on the inside of my body that I would do anything to take out,uncategorized,,[],[],,
something has ruptured,uncategorized,,[],[],,
it has come back with a Vengeance to Derail me. ,uncategorized,,[],[],,
someone is grabbing my intestines and ,uncategorized,,[],[],,
squeezing/,sensory,,[],[],,
twisting them.  ,uncategorized,,[],['sensory'],sensory,
carpet burns all over my insides.  ,uncategorized,,[],['sensory'],sensory,
"I have food poisoning, but I know it isn't, it is just morning with bowel endo.  ",uncategorized,,[],[],,
your insides are going to fall out.,uncategorized,,[],[],,
there is a spikey ball rattling around heading off things. ,uncategorized,,[],[],,
Like someone is pulling on my belly button from the inside.,uncategorized,,[],[],,
a dentist is picking at plaque ,uncategorized,,[],[],,
there is a knife scraping at my insides.,"sensory, metaphorical",,[],[],,
a hot poker has been inserted inside of me and ,sensory,,[],['sensory'],sensory,
being waved all about and ,uncategorized,,[],[],,
and stabbing areas at random.,sensory,,[],['sensory'],sensory,high
"you have been hit by a car, ",uncategorized,,[],[],,
 you're internally bruised but nothing to show of it.,uncategorized,,[],[],,
When I have a bowel motion it feels like passing broken glass. ,uncategorized,,[],[],,
When I have period pain it feels like someone is stabbing me in the pelvis with a knife.,"sensory, metaphorical",,[],['sensory'],sensory,high
someone has a knife and is stabbing me up my back passage. ,"sensory, metaphorical",,[],['sensory'],sensory,high
something is constantly tugging on my left ovary ,uncategorized,,[],['temporal'],temporal,
toothache but throughout my abdomen.,uncategorized,,[],[],,
Sometimes being kicked or ,uncategorized,,[],[],,
 or something being forcefully jammed in the vagina.,uncategorized,,[],[],,
having an awful bruise that is continually irritated and won't heal.,uncategorized,,[],[],,
 At times the ache is sharper,uncategorized,,[],[],,medium
something is clenching and ,uncategorized,,[],[],,
and yanking my whole abdomen,uncategorized,,[],[],,
It feels like there is a broken G as bottle ,uncategorized,,[],[],,
 getting poked ,uncategorized,,[],[],,
and scrapped around my pelvis.  ,uncategorized,,[],[],,
Sharp metal grinding against itself,sensory,,[],[],,medium
 cogs or machine parts. ,uncategorized,,[],[],,
 Waves of,uncategorized,,[],[],,
 pulsating pain.,uncategorized,,[],['sensory'],sensory,
 Eruptions.,uncategorized,,[],[],,
my inner organs are being flayed,uncategorized,,[],[],,
